VideoId;Title;Description;PublishedAt;ViewCount;LikeCount;DlikeandUnknow;FavoriteCount;Words
3XOZHd4Uos0;"¡Increíble pero Cierto! Daniel Noboa y sus Teorías del &#39;Mundo Konitos&#39; ¿Riesgo para Ecuador?";hoy examinamos las impactantes declaraciones de Daniel Noboa, el candidato presidencial que pasó a la segunda vuelta.;2023-09-09T21:00:10Z;2318;146;2172;0;Problemas de Daniel Noboa
4_gyNtCkuHc;"Acción &quot;democrática&quot; (MSAN)";"El partido izquierdista, socialista, ""revolucionario"", de ""masas"", internacionalista, de los milicianos y los cabilleros; Acción ...";2021-08-14T21:25:41Z;37718;1774;35944;0;Acción Democrática Nacional (ADN)
4-6dvNCS-x8;Daniel Noboa concentrará su campaña en provincias donde el correísmo lleva ventaja;En la segunda vuelta electoral Daniel Noboa concentrará los esfuerzos de su campaña en provincias como Manabí, Guayas y ...;2023-08-22T18:51:37Z;3018;65;2953;0;Campaña Daniel Noboa
4D4g7Od1qPE;Proopuesta de seguridad, Luisa Gonzalez entrega en Medios;Candidata a la presidencia de la República Luisa Gonzalez, dijo en cadena radial nacional que sus propuestas van relacionadas ...;2023-06-25T20:00:08Z;26289;1398;24891;0;Gonzales propuestas
4eagMrFGMFU;La Pizarra con Luisa González, ¿próxima Presidenta del Ecuador?;La candidata a la presidencia por Revolución Ciudadana habló con Alfredo Serrano Mancilla sobre la violencia política en su ...;2023-08-12T16:18:32Z;31242;1110;30132;0;Gonzales propuestas
4LxyR8nRQR8;¿Cuándo será la segunda vuelta en Ecuador ? #breakingnews #shortsvideo #news;La segunda vuelta electoral, en la que se decidirá al encargado de manejar los destinos de Ecuador, se llevará cabo el domingo ...;2023-08-21T04:12:56Z;2269;37;2232;0;Segunda vuelta Ecuador
-4zix0XmoUA;Se registra balacera en un acto de campaña del candidato a la presidencia de Ecuador Daniel Noboa;Este jueves, durante un recorrido del cierre de campaña de Daniel Noboa, candidato a la presidencia de Ecuador, se registró un ...;2023-08-18T11:30:00Z;7358;71;7287;0;Daniel Noboa presidente
56KlNkbCQoc;Violencia pone en jaque elecciones en Ecuador;Ecuador enfrenta este domingo las elecciones más difíciles de su historia. Al complicado ambiente político y económico se suma ...;2023-08-19T02:17:39Z;6758;59;6699;0;Elecciones 2023 Ecuador
572CE-usqHE;La bronca entre Correa y Andrés Arauz. #castigodivino;;2023-01-04T16:41:43Z;85133;1478;83655;0;Andres Arauz
5glMntRZp6k;LUISA GONZÁLEZ PRESIDENTA spot publicitario Revolución Ciudadana Rafael Correa;LUISA GONZÁLEZ PRESIDENTA spot publicitario Revolución Ciudadana Rafael Correa.;2023-06-14T04:49:12Z;20936;661;20275;0;Campaña Luisa Gonzales
5ogbOm_RCYI;Andrés Arauz No irá de candidato a la presidencia;Andrés Arauz indica que él no irá de candidato en las próximas elecciones presidenciales. Arauz tiene muchos conocimientos ...;2023-05-20T12:57:00Z;6929;489;6440;0;Andres Arauz
5U_3_v9AWtc;¿Daniel Noboa es Lasso 2.0?;Vea la entrevista completa con el Dr. Augusto Tandazo.;2023-08-26T02:34:09Z;9309;536;8773;0;Noboa propuestas
5WWkea2MDv0;ECUADOR: hubo un TIROTEO en la CARAVANA de DANIEL NOBOA, uno de los CANDIDATOS PRESIDENCIALES;Visitá https://www.c5n.com/ Suscribite a nuestro canal: https://bit.ly/C5NYouTube Seguinos también en: · Instagram: ...;2023-08-17T23:31:35Z;8932;141;8791;0;Daniel Noboa presidente
